Index,suggestions,sortWeight,searchBy
582,"Tarn Taran Sahib, Punjab, India",410,location
583,"Tarn Taran, Punjab, India",410,location
584,"Balurghat, West Bengal, India",409,location
585,"Bankura, West Bengal, India",409,location
586,"Baranagar, West Bengal, India",409,location
587,"Bhatpara, West Bengal, India",409,location
588,"Birbhum, West Bengal, India",409,location
589,"Chinsurah, West Bengal, India",409,location
590,"Cooch Behar, West Bengal, India",409,location
591,"Dakshin Dinajpur, West Bengal, India",409,location
592,"Darjeeling, West Bengal, India",409,location
593,"Durgapur, West Bengal, India",409,location
594,"East Jaintia Hills, West Bengal, India",409,location
595,"Gajapati, West Bengal, India",409,location
596,"Haldia, West Bengal, India",409,location
597,"Hooghly, West Bengal, India",409,location
598,"Howrah, West Bengal, India",409,location
599,"Jalpaiguri, West Bengal, India",409,location
600,"Karbi Anglong, West Bengal, India",409,location
601,"Kharagpur, West Bengal, India",409,location
602,"Kutch, West Bengal, India",409,location
603,"Morigaon, West Bengal, India",409,location
604,"Murshidabad, West Bengal, India",409,location
605,"Nadia, West Bengal, India",409,location
606,"North 24 Parganas, West Bengal, India",409,location
607,"Other, West Bengal, India",409,location
608,"Panihati, West Bengal, India",409,location
609,"Purba Medinipur, West Bengal, India",409,location
610,"Purulia, West Bengal, India",409,location
611,"Puruliya, West Bengal, India",409,location
612,"Purvi Champaran, West Bengal, India",409,location
